Rank,Channel,Videos,Subscribers,Views
1,Peppa Pig - Official Channel,5970,34500000,25240000000
2,NoCopyrightSounds,1600,33600000,11020000000
3,DanTDM,3710,28600000,19780000000
4,Dan Rhodes,1670,26500000,18570000000
5,Coldplay,421,26200000,18870000000
6,Peppa Pig Español Latino - Canal Oficial,1490,25400000,8790000000
7,Miss Katy,1080,24500000,15470000000
8,Mister Max,1140,24400000,15980000000
9,KSI,1250,24100000,6020000000
10,Jelly,6340,23500000,15040000000
11,Dua Lipa,224,23300000,12790000000
12,Sidemen,349,21100000,6060000000
13,Britain's Got Talent,4400,20200000,11630000000
14,Ali-A,4310,18900000,6460000000
15,Supercar Blondie,1110,18600000,8660000000
16,Mrwhosetheboss,1670,18300000,5230000000
17,Queen Official,1140,17500000,11170000000
18,Gaby and Alex,367,17200000,8600000000
19,Little Mix,278,16300000,7760000000
20,JJ Olatunji,1340,16300000,4240000000
21,BBC News,21180,15800000,5230000000
22,Woody & Kleiny,1090,15400000,14110000000
23,Su Hao,2450,15200000,15430000000
24,TommyInnit,464,14800000,2350000000
25,BBC,18770,14100000,10350000000
26,F2Freestylers - Ultimate Soccer Skills Channel,779,14100000,3340000000
27,Awakening Music,927,14000000,5900000000
28,Hi-Tech Islamic Naat,2330,13000000,3600000000
29,colinfurze,397,13000000,1740000000
30,DisneyChannelUK,4520,12900000,13250000000
31,Jamie Nyland,1490,12900000,2450000000
32,Ellie Goulding,244,12800000,7190000000
33,Morgz,846,12800000,3530000000
34,BBC Earth,2650,12700000,4740000000
35,Rhia Official,889,12300000,5730000000
36,J,10,12300000,4600000
37,Disney Kids,2870,11900000,12290000000
38,Sing King,4280,11800000,7690000000
39,Shaun the Sheep Official,836,11800000,6280000000
40,Brandon B,768,11600000,9790000000
41,Slogo,6280,11600000,8860000000
42,Jeremy Lynch,754,11600000,6200000000
43,BBC News عربي,40210,11500000,4860000000
44,Rano's Home رانو هوم,1690,11400000,14670000000
45,Jungle Beat,791,11400000,5730000000
46,Tiana,1030,11400000,3240000000
47,Emily Tube,734,11100000,3830000000
48,Moonbug Kids - Kids Learning Videos,1430,10900000,4179999999
49,Tomorrowland,2170,10900000,2089999999
50,Gorillaz,363,10800000,5690000000
51,English with Lucy,401,10800000,491320000
52,Jessie J,96,10600000,5740000000
53,Classic Mr Bean,1680,10400000,3390000000
54,Jake Sweet,1230,10300000,3100000000
55,Cartoon Network UK,5050,10100000,9860000000
56,STORROR,961,10000000,2660000000
57,SUFISCORE,347,9940000,1780000000
58,Liverpool FC,6340,9750000,2690000000
59,Syndicate,3530,9620000,2130000000
60,Mumbo Jumbo,2070,9360000,3040000000
61,Julius Dein,385,9270000,2460000000
62,The X Factor UK,5500,9170000,6990000000
63,Beta Squad,145,9130000,1180000000
64,carwow,2610,9120000,3810000000
65,Linh Nhi Family,1980,9070000,6590000000
66,Cartoons for Kids,2470,8980000,3390000000
67,Top Gear,1850,8910000,3970000000
68,RubyandBonnie,618,8860000,5100000000
69,DOM Studio,612,8850000,2790000000
70,Manchester United,3990,8800000,2089999999
71,Daz Games,1560,8540000,2670000000
72,Grian,751,8500000,2440000000
73,Mr Bean World,1590,8410000,3340000000
74,WildBrain Kids,4990,8340000,4040000000
75,MoreSidemen,1010,8320000,4219999999
76,BBC Radio 1,4850,8240000,3710000000
77,The Beatles,311,8199999,6810000000
78,Tool_Tips,4490,7930000,7420000000
79,Numberblocks,1810,7860000,6930000000
80,Disney UK,1810,7820000,5790000000
81,MrTalalaa,682,7800000,5980000000
82,PlayToys,1030,7790000,3050000000
83,Milla Chats,1020,7710000,4170000000
84,ARPO The Robot,1320,7660000,3230000000
85,Vikkstar123,5040,7610000,2160000000
86,Sky News,46140,7550000,4290000000
87,Rooster Time,2440,7550000,2060000000
88,Niko Omilana,141,7430000,615780000
89,England & Wales Cricket Board,6630,7410000,3220000000
90,Passenger,387,7360000,4520000000
91,James Arthur,198,7360000,4370000000
92,Satisfying Cakes,2680,7340000,4620000000
93,Evilash,3590,7330000,699490000
94,Lewis Capaldi,113,7290000,3600000000
95,TomSka,177,7280000,2080000000
96,Boomerang UK,2300,7270000,3590000000
97,DaveHax,683,7210000,3010000000
98,Man City,8260,7200000,1970000000
99,LDShadowLady,1070,7160000,3420000000
100,Mrwhosetheboss Shorts,186,7100000,3720000000
